"Sample","ModuleScore","Module","Genotype","Timepoint","Day","Ctrl_Mean","Divergence"
"D65Ctrl_1123",4.78970645918201,"Mito Ribosome Assembly","Ctrl","D65",65,4.83499697728436,-0.0452905181023571
"D65Ctrl_222",4.9769525485619,"Mito Ribosome Assembly","Ctrl","D65",65,4.83499697728436,0.141955571277538
"D65Ctrl_423",4.73833192410918,"Mito Ribosome Assembly","Ctrl","D65",65,4.83499697728436,-0.0966650531751796
"D65GA_1123",4.83484710453655,"Mito Ribosome Assembly","G32A","D65",65,4.83499697728436,-0.000149872747818414
"D65GAF7_222",4.98539755828959,"Mito Ribosome Assembly","G32A","D65",65,4.83499697728436,0.150400581005225
"D65GAF7_423",4.82694984294435,"Mito Ribosome Assembly","G32A","D65",65,4.83499697728436,-0.00804713434001503
"D65GAG5_423",4.7872201373964,"Mito Ribosome Assembly","G32A","D65",65,4.83499697728436,-0.0477768398879643
"D65RC_1123",5.06187030953262,"Mito Ribosome Assembly","R403C","D65",65,4.83499697728436,0.226873332248257
"D65RCD5_423",4.74995319178222,"Mito Ribosome Assembly","R403C","D65",65,4.83499697728436,-0.0850437855021484
"D65RCG3_222",5.13024308447306,"Mito Ribosome Assembly","R403C","D65",65,4.83499697728436,0.295246107188694
"D65RCG3_423",4.79312662113633,"Mito Ribosome Assembly","R403C","D65",65,4.83499697728436,-0.0418703561480349
"D35Ctrl_222",5.25449338792762,"mtDNA Maintenance","Ctrl","D35",35,5.16075767592501,0.093735712002613
"D35Ctrl_322",5.15209777780346,"mtDNA Maintenance","Ctrl","D35",35,5.16075767592501,-0.00865989812154577
"D35Ctrl_323",5.07568186204394,"mtDNA Maintenance","Ctrl","D35",35,5.16075767592501,-0.0850758138810663
"D35GAF7_322",4.5961818559927,"mtDNA Maintenance","G32A","D35",35,5.16075767592501,-0.564575819932304
"D35GAF7_323",4.80302418139713,"mtDNA Maintenance","G32A","D35",35,5.16075767592501,-0.357733494527881
"D35GAG5_222",5.1392519318611,"mtDNA Maintenance","G32A","D35",35,5.16075767592501,-0.0215057440639042
"D35GAG5_322",4.6993599164669,"mtDNA Maintenance","G32A","D35",35,5.16075767592501,-0.461397759458104
"D35GAG5_323",5.01457960156328,"mtDNA Maintenance","G32A","D35",35,5.16075767592501,-0.146178074361724
"D35RCD5_222",5.37216776346729,"mtDNA Maintenance","R403C","D35",35,5.16075767592501,0.211410087542283
"D35RCD5_322",4.65112434546181,"mtDNA Maintenance","R403C","D35",35,5.16075767592501,-0.509633330463198
"D35RCD5_323",4.91798337655632,"mtDNA Maintenance","R403C","D35",35,5.16075767592501,-0.24277429936869
"D35RCG3_222",4.98654746919274,"mtDNA Maintenance","R403C","D35",35,5.16075767592501,-0.174210206732262
"D35RCG3_322",4.7797959855661,"mtDNA Maintenance","R403C","D35",35,5.16075767592501,-0.380961690358905
"D35RCG3_323",4.84856734218998,"mtDNA Maintenance","R403C","D35",35,5.16075767592501,-0.312190333735026
"D65Ctrl_1123",4.67231264593132,"mtDNA Maintenance","Ctrl","D65",65,4.71695931009805,-0.0446466641667254
"D65Ctrl_222",4.7203957455924,"mtDNA Maintenance","Ctrl","D65",65,4.71695931009805,0.00343643549435502
"D65Ctrl_423",4.75816953877042,"mtDNA Maintenance","Ctrl","D65",65,4.71695931009805,0.0412102286723703
"D65GA_1123",4.66971516469149,"mtDNA Maintenance","G32A","D65",65,4.71695931009805,-0.0472441454065624
"D65GAF7_222",4.71059804957547,"mtDNA Maintenance","G32A","D65",65,4.71695931009805,-0.00636126052257868
"D65GAF7_423",4.85846356377394,"mtDNA Maintenance","G32A","D65",65,4.71695931009805,0.14150425367589
"D65GAG5_423",4.73159516281936,"mtDNA Maintenance","G32A","D65",65,4.71695931009805,0.0146358527213106
"D65RC_1123",4.99748055370919,"mtDNA Maintenance","R403C","D65",65,4.71695931009805,0.28052124361114
"D65RCD5_423",4.77081050477678,"mtDNA Maintenance","R403C","D65",65,4.71695931009805,0.0538511946787255
"D65RCG3_222",4.71067371752417,"mtDNA Maintenance","R403C","D65",65,4.71695931009805,-0.00628559257387717
"D65RCG3_423",4.69178238304582,"mtDNA Maintenance","R403C","D65",65,4.71695931009805,-0.0251769270522297
"D35Ctrl_222",5.15033505458855,"OXPHOS","Ctrl","D35",35,5.00963027509009,0.14070477949846
"D35Ctrl_322",5.0154648041798,"OXPHOS","Ctrl","D35",35,5.00963027509009,0.0058345290897126
"D35Ctrl_323",4.86309096650192,"OXPHOS","Ctrl","D35",35,5.00963027509009,-0.146539308588172
"D35GAF7_322",4.94419241011808,"OXPHOS","G32A","D35",35,5.00963027509009,-0.0654378649720124
"D35GAF7_323",4.77329670347552,"OXPHOS","G32A","D35",35,5.00963027509009,-0.23633357161457
"D35GAG5_222",5.10081214241937,"OXPHOS","G32A","D35",35,5.00963027509009,0.0911818673292837
"D35GAG5_322",4.78596286012981,"OXPHOS","G32A","D35",35,5.00963027509009,-0.223667414960274
"D35GAG5_323",4.80803279203618,"OXPHOS","G32A","D35",35,5.00963027509009,-0.201597483053905
"D35RCD5_222",5.19153510320291,"OXPHOS","R403C","D35",35,5.00963027509009,0.181904828112826
"D35RCD5_322",4.86857083497466,"OXPHOS","R403C","D35",35,5.00963027509009,-0.141059440115431
"D35RCD5_323",4.80843221941314,"OXPHOS","R403C","D35",35,5.00963027509009,-0.201198055676953
"D35RCG3_222",5.07295211912421,"OXPHOS","R403C","D35",35,5.00963027509009,0.0633218440341174
"D35RCG3_322",4.84833629509201,"OXPHOS","R403C","D35",35,5.00963027509009,-0.161293979998079
"D35RCG3_323",4.77498478093357,"OXPHOS","R403C","D35",35,5.00963027509009,-0.234645494156518
"D65Ctrl_1123",4.90819329440631,"OXPHOS","Ctrl","D65",65,4.87102456827184,0.037168726134472
"D65Ctrl_222",4.87495041814948,"OXPHOS","Ctrl","D65",65,4.87102456827184,0.00392584987763911
"D65Ctrl_423",4.82992999225973,"OXPHOS","Ctrl","D65",65,4.87102456827184,-0.041094576012112
"D65GA_1123",4.88407120868291,"OXPHOS","G32A","D65",65,4.87102456827184,0.0130466404110683
"D65GAF7_222",4.8256178212856,"OXPHOS","G32A","D65",65,4.87102456827184,-0.045406746986238
"D65GAF7_423",4.84517613667357,"OXPHOS","G32A","D65",65,4.87102456827184,-0.0258484315982743
"D65GAG5_423",4.82196461223222,"OXPHOS","G32A","D65",65,4.87102456827184,-0.0490599560396232
"D65RC_1123",4.89089495394955,"OXPHOS","R403C","D65",65,4.87102456827184,0.019870385677712
"D65RCD5_423",4.84068400010544,"OXPHOS","R403C","D65",65,4.87102456827184,-0.0303405681663982
"D65RCG3_222",5.03990037880182,"OXPHOS","R403C","D65",65,4.87102456827184,0.168875810529975
"D65RCG3_423",4.80622655150656,"OXPHOS","R403C","D65",65,4.87102456827184,-0.0647980167652831
