"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast"
"MYLK37",-0.809892732394543,0.495328928366874,-1.61835940409972,0.120166137596751,0.410422482806696,-4.61851250245746,"Time_G32A"
"CACNG37",-1.12801519027751,-1.38710816601042,-1.22281078498608,0.234645055743012,0.542901369568784,-4.82466817081208,"Time_G32A"
"STIM27",0.492101474350553,5.14868837713505,1.7027151925698,0.103046289240063,0.385812016697565,-5.03428236016646,"Time_G32A"
"CALR7",-0.92102096826866,9.0006934299441,-1.80581368899101,0.084978382852279,0.359342022543711,-5.06531432037232,"Time_G32A"
"VDR7",1.3902315960723,-1.27410442368784,1.02124804237162,0.318498876969472,0.621405253957989,-5.08075090243112,"Time_G32A"
"ATP2A17",0.38668585021922,1.82781790452184,1.33495119508531,0.19581025294064,0.503322128067649,-5.09682192864885,"Time_G32A"
"CALB17",-1.11844056819362,3.90867535588446,-1.08311701979327,0.290762304270142,0.597647704797827,-5.67077309528651,"Time_G32A"
"RYR17",0.758316176554352,2.97137899000881,0.665567910988807,0.512769738136219,0.763742149742453,-5.93383091917065,"Time_G32A"
"STIM17",-0.0817944178305936,5.66674968015069,-0.400193300258951,0.692955872699357,0.866098758491452,-6.41470352898861,"Time_G32A"
"CACNG38",-1.17647635502249,-1.38710816601042,-1.32093934204526,0.20041829401332,0.488375081466238,-4.73743328656556,"Time_R403C"
"VDR8",1.28669103107966,-1.27410442368784,1.10107240745362,0.283047915771292,0.568194076879038,-5.10730230112905,"Time_R403C"
"CACNA1S8",-0.662782582527711,-2.66065688336907,-0.720257039255339,0.479129867368442,0.721860260986032,-5.23725142437804,"Time_R403C"
"ATP2A18",-0.334346642679723,1.82781790452184,-1.19500542650118,0.245057497370957,0.532849954649923,-5.27176419738743,"Time_R403C"
"MYLK38",-0.464053212894927,0.495328928366874,-0.986129400959086,0.335040419043747,0.612201085900879,-5.37245605263785,"Time_R403C"
"STIM28",0.357421599044875,5.14868837713505,1.30759276005341,0.20483102604149,0.49240859634217,-5.61697224665731,"Time_R403C"
"CALR8",-0.678977924028532,9.0006934299441,-1.39634746046776,0.176870014215911,0.462701070134812,-5.69535661573348,"Time_R403C"
"CALB18",-1.04688089083697,3.90867535588446,-1.00886649532716,0.324265956515065,0.603236351374952,-5.72549240057139,"Time_R403C"
"RYR18",0.334893204869434,2.97137899000881,0.27800131801853,0.78366899143916,0.902740861538937,-6.04603637212194,"Time_R403C"
"STIM18",-0.0474353632815028,5.66674968015069,-0.238954435917186,0.813400060773939,0.91884431684178,-6.47966635526973,"Time_R403C"
"CACNG39",-1.15224577265,-1.38710816601042,-1.79720729687334,0.0863742193300114,0.215751353952843,-4.29300431802704,"Time_Mutations"
"CACNA1S9",-1.24969857646884,-2.66065688336907,-1.71235318839217,0.101228494345424,0.238872556984029,-4.36231279288198,"Time_Mutations"
"MYLK39",-0.636972972644735,0.495328928366874,-1.85452253404728,0.0774352740182769,0.201204066651992,-4.4830978507145,"Time_Mutations"
"CALR9",-0.799999446148596,9.0006934299441,-2.27053359834419,0.033569619583796,0.120229588006069,-4.51395310177947,"Time_Mutations"
"STIM29",0.424761536697714,5.14868837713505,2.13556424854278,0.0443754900649401,0.141393739802634,-4.57167841374006,"Time_Mutations"
"VDR9",1.33846131357598,-1.27410442368784,1.49208394689098,0.150215394461469,0.307327543763575,-4.81382879587722,"Time_Mutations"
"CALB19",-1.08266072951529,3.90867535588446,-1.47912278755623,0.153620294968968,0.311924371926176,-5.43248927747912,"Time_Mutations"
"RYR19",0.546604690711893,2.97137899000881,0.659314533563118,0.516698740263638,0.679332418489293,-6.15857050818027,"Time_Mutations"
"ATP2A19",0.026169603769749,1.82781790452184,0.129963536687034,0.897799485934958,0.942668804800696,-6.18279499613122,"Time_Mutations"
"STIM19",-0.0646148905560486,5.66674968015069,-0.453560025552927,0.65468253431225,0.785568834188685,-6.66149571113214,"Time_Mutations"
"STIM110",-0.628540993824376,5.66674968015069,-1.90725152659601,0.0699134089529909,0.999976356842216,-4.51332666759027,"Int_G32A"
"MYLK310",-1.3069161292064,0.495328928366874,-1.61779585229847,0.120288144297549,0.999976356842216,-4.58266983061742,"Int_G32A"
"RYR110",-2.10972067807048,2.97137899000881,-1.053587878111,0.303776453327297,0.999976356842216,-4.59370584325545,"Int_G32A"
"CACNA1S10",-0.815192267565782,-2.66065688336907,-0.417613516243225,0.68037344911082,0.999976356842216,-4.59714590192174,"Int_G32A"
"VDR10",-0.944627577968754,-1.27410442368784,-0.430617288088278,0.671035562481909,0.999976356842216,-4.59910107035959,"Int_G32A"
"CACNG310",-0.19880768965885,-1.38710816601042,-0.163920336795173,0.871326053618867,0.999976356842216,-4.60085894648333,"Int_G32A"
"CALR10",-0.755881079702137,9.0006934299441,-0.943294044474983,0.356017441469175,0.999976356842216,-4.60273635923892,"Int_G32A"
"CALB110",-1.29547821238458,3.90867535588446,-0.717131330952433,0.481017182061512,0.999976356842216,-4.60462802231829,"Int_G32A"
"ATP2A110",0.118554363666225,1.82781790452184,0.260525587479333,0.796929020644267,0.999976356842216,-4.60678526057741,"Int_G32A"
"STIM210",0.215026865357588,5.14868837713505,0.479082670737599,0.636719673901525,0.999976356842216,-4.62206925362855,"Int_G32A"
"STIM111",-0.594181939275285,5.66674968015069,-1.82296746515965,0.0822210896872871,0.993284980264271,-4.52085973640297,"Int_R403C"
"ATP2A111",-0.602478129232718,1.82781790452184,-1.34231100516855,0.193451654189009,0.993284980264271,-4.58584759424488,"Int_R403C"
"RYR111",-2.5331436497554,2.97137899000881,-1.24157049254034,0.227778703246432,0.993284980264271,-4.58762167078521,"Int_R403C"
"MYLK311",-0.961076609706784,0.495328928366874,-1.21703387323879,0.236785145315251,0.993284980264271,-4.59111232662019,"Int_R403C"
"CACNA1S11",0.358639720316476,-2.66065688336907,0.195263895010956,0.847021097147956,0.997323384264374,-4.59780095629629,"Int_R403C"
"VDR11",-1.0481681429614,-1.27410442368784,-0.504033940366239,0.619366934197781,0.993284980264271,-4.59916478614224,"Int_R403C"
"CACNG311",-0.247268854403839,-1.38710816601042,-0.2079999977871,0.837187964488894,0.997323384264374,-4.6009875765987,"Int_R403C"
"CALB111",-1.22391853502793,3.90867535588446,-0.676431968541367,0.505983673545413,0.993284980264271,-4.60568782264822,"Int_R403C"
"CALR11",-0.513838035462008,9.0006934299441,-0.653405347708302,0.52042679026471,0.993284980264271,-4.62616054231408,"Int_R403C"
"STIM211",0.0803469900519103,5.14868837713505,0.183061925587828,0.856465856640556,0.997707233018003,-4.63041127807323,"Int_R403C"
"STIM112",-0.61136146654983,5.66674968015069,-2.07120406536216,0.0505326955793493,0.99285599755475,-4.47308091851668,"Int_All_Mutations"
"MYLK312",-1.13399636945659,0.495328928366874,-1.57237000941687,0.130469341342709,0.99285599755475,-4.58090242349021,"Int_All_Mutations"
"RYR112",-2.32143216391294,2.97137899000881,-1.25918290331448,0.221472831891134,0.99285599755475,-4.58531156778283,"Int_All_Mutations"
"CACNA1S12",-0.228276273624653,-2.66065688336907,-0.130511923502875,0.897375662039146,0.997591777999558,-4.59814302211035,"Int_All_Mutations"
"VDR12",-0.996397860465075,-1.27410442368784,-0.51360244398435,0.612771429621637,0.99285599755475,-4.59970296782525,"Int_All_Mutations"
"CACNG312",-0.223038272031345,-1.38710816601042,-0.219654815008286,0.828213424844409,0.996895598333919,-4.60310198701594,"Int_All_Mutations"
"CALB112",-1.25969837370626,3.90867535588446,-0.762010405427237,0.454337915359037,0.99285599755475,-4.60496563380747,"Int_All_Mutations"
"ATP2A112",-0.241961882783247,1.82781790452184,-0.597993218890233,0.556070912552747,0.99285599755475,-4.60520149393798,"Int_All_Mutations"
"CALR12",-0.634859557582073,9.0006934299441,-0.892376353260082,0.38207706173522,0.99285599755475,-4.61080387717876,"Int_All_Mutations"
"STIM212",0.147686927704749,5.14868837713505,0.372156365235219,0.713421832404586,0.994393687170329,-4.63333578888221,"Int_All_Mutations"
